age,handedness,participant_id,sex,project,site_id
66.0,left handed,100451,Male,rocklandsample,
69.0,left handed,101463,Female,rocklandsample,
49.0,right handed,101783,Female,rocklandsample,
72.0,right handed,102019,Female,rocklandsample,
71.0,right handed,103347,Female,rocklandsample,
27.0,right handed,103365,Female,rocklandsample,
66.0,right handed,103384,Female,rocklandsample,
47.0,right handed,103525,Female,rocklandsample,
62.0,right handed,105356,Female,rocklandsample,
85.0,right handed,106459,Female,rocklandsample,
50.0,right handed,108829,Female,rocklandsample,
42.0,right handed,108886,Female,rocklandsample,
72.0,right handed,110184,Female,rocklandsample,
71.0,right handed,110559,Female,rocklandsample,
77.0,left handed,111693,Female,rocklandsample,
21.0,right handed,113436,Female,rocklandsample,
45.0,right handed,114047,Female,rocklandsample,
49.0,left handed,114139,Female,rocklandsample,
23.0,right handed,114275,Male,rocklandsample,
69.0,right handed,114446,Male,rocklandsample,
65.0,right handed,116041,Female,rocklandsample,
28.0,right handed,117124,Male,rocklandsample,
12.0,right handed,117289,Female,rocklandsample,
21.0,right handed,117747,Female,rocklandsample,
76.0,right handed,119486,Male,rocklandsample,
68.0,right handed,120486,Female,rocklandsample,
83.0,right handed,120493,Female,rocklandsample,
16.0,right handed,121437,Male,rocklandsample,
65.0,right handed,124028,Female,rocklandsample,
60.0,right handed,127468,Female,rocklandsample,
37.0,right handed,127484,Female,rocklandsample,
79.0,right handed,128159,Female,rocklandsample,
59.0,right handed,129348,Male,rocklandsample,
57.0,right handed,131637,Female,rocklandsample,
49.0,left handed,134715,Female,rocklandsample,
72.0,right handed,136649,Female,rocklandsample,
58.0,right handed,139077,Female,rocklandsample,
66.0,right handed,139764,Female,rocklandsample,
55.0,left handed,142513,Female,rocklandsample,
50.0,left handed,142579,Male,rocklandsample,
74.0,right handed,143391,Male,rocklandsample,
23.0,right handed,143867,Male,rocklandsample,
57.0,right handed,144544,Female,rocklandsample,
48.0,right handed,145411,Female,rocklandsample,
21.0,right handed,149662,Male,rocklandsample,
50.0,left handed,150880,Male,rocklandsample,
61.0,right handed,151876,Female,rocklandsample,
27.0,left handed,152872,Male,rocklandsample,
20.0,,152992,Female,rocklandsample,
78.0,right handed,153460,Female,rocklandsample,
70.0,right handed,153754,Female,rocklandsample,
26.0,right handed,154555,Male,rocklandsample,
45.0,right handed,155568,Male,rocklandsample,
70.0,right handed,155677,Female,rocklandsample,
59.0,right handed,156730,Female,rocklandsample,
60.0,left handed,156928,Female,rocklandsample,
,,157580,,rocklandsample,
